File Name,Download Link,Description
ScerArrestconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae under cell division arrest
ScerDDconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae under DNA damage
ScerDSAconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae after Diauxia shift
ScerGalconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae with Galactose as carbon source
ScerGlcconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae under 16% glucose concentration
ScerH2O2consensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae under oxidative stress
ScerHSconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae after 30 heat shock replcate 1
ScerNaClconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae under osmotic stress
ScerYPDconsensusClusters.txt,Download,Core promoter data obtained from Saccharomyces cerevisiae in log phase under YPD medium
Genome,,
Saccharomyces_cerevisiae.R64-1-1.92.gff3,Download,Annotations for Saccharomyces cerevisiae from SGD
Saccharomyces_cerevisiae_Lin.gff,Download,Revised annotations for Saccharomyces cerevisiae by Zhenguo Lin`s lab
genome.fa,Download,Reference genome sequence for Saccharomyces cerevisiae from SGD
ctss,,
ScerArrest.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under cell division arrest replicate 1
ScerArrest.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under cell division arrest replicate 2
ScerDD.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under DNA damage replicate 1
ScerDD.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under DNA damage replicate 2
ScerDSA.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae after Diauxia shift replicate 1
ScerDSA.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae after Diauxia shift replicate 2
ScerGal.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae with Galactose as carbon source replicate 1
ScerGal.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae with Galactose as carbon source replicate 2
ScerGlc.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under 16% glucose concentration replicate 1
ScerGlc.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under 16% glucose concentration replicate 2
ScerH2O2.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under oxidative stress replicate 1
ScerH2O2.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under oxidative stress replicate 2
ScerHS.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae after 30 heat shock replcate 1
ScerHS.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae after 30 heat shock replcate 2
ScerNaCl.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under osmotic stress replicate 1
ScerNaCl.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae under osmotic stress replicate 2
ScerYPD.1.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae in log phase under YPD medium replicate 1
ScerYPD.2.ctss,Download,Raw TSS data obtained from Saccharomyces cerevisiae in log phase under YPD medium replicate 2
other_tracks,,
Doris_et_al_2018,,
GSM3189539_WT-37C-1_tss-seq-spikenorm-minus.bw,Download,Minus Strand TSS-seq of wild type after an 80 minute shift from 30C to 37C from Doris et al. 2018
GSM3189539_WT-37C-1_tss-seq-spikenorm-plus.bw,Download,Plus Strand TSS-seq of wild type after an 80 minute shift from 30C to 37C from Doris et al. 2018
GSM3189539_WT-37C-1_tss-seq-spikenorm.bw,Download,Merged TSS-seq of wild type after an 80 minute shift from 30C to 37C from Doris et al. 2018
GSM3189540_WT-37C-2_tss-seq-spikenorm-minus.bw,Download,Minus Strand TSS-seq of wild type after an 80 minute shift from 30C to 37C from Doris et al. 2018
GSM3189540_WT-37C-2_tss-seq-spikenorm-plus.bw,Download,Plus Strand TSS-seq of wild type after an 80 minute shift from 30C to 37C from Doris et al. 2018
GSM3189540_WT-37C-2_tss-seq-spikenorm.bw,Download,Merged TSS-seq of wild type after an 80 minute shift from 30C to 37C from Doris et al. 2018
GSM3189541_spt6-1004-37C-1_tss-seq-spikenorm-minus.bw,Download,Minus Strand TSS-seq of spt6-1004 mutant at 37C from Doris et al. 2018
GSM3189541_spt6-1004-37C-1_tss-seq-spikenorm-plus.bw,Download,Plus Strand TSS-seq of spt6-1004 mutant at 37C from Doris et al. 2018
